lncRNA,mature_mirna_id,clipExpNum
NEAT1,hsa-miR-556-3p,6
NEAT1,hsa-miR-149-5p,4
NEAT1,hsa-miR-200c-3p,5
NEAT1,hsa-miR-200b-3p,5
NEAT1,hsa-miR-429,5
NEAT1,hsa-miR-323b-3p,6
NEAT1,hsa-miR-2114-3p,6
NEAT1,hsa-miR-6823-3p,6
NEAT1,hsa-miR-490-3p,6
NEAT1,hsa-miR-512-3p,6
NEAT1,hsa-miR-501-3p,13
NEAT1,hsa-miR-502-3p,13
NEAT1,hsa-miR-216b-5p,10
NEAT1,hsa-miR-520a-5p,5
NEAT1,hsa-miR-525-5p,5
NEAT1,hsa-miR-425-5p,8
NEAT1,hsa-miR-3605-5p,9
NEAT1,hsa-miR-1911-5p,5
NEAT1,hsa-miR-624-5p,5
NEAT1,hsa-miR-1266-3p,10
NEAT1,hsa-miR-532-5p,5
NEAT1,hsa-miR-18a-5p,5
NEAT1,hsa-miR-18b-5p,5
NEAT1,hsa-miR-4735-3p,5
NEAT1,hsa-miR-488-3p,6
NEAT1,hsa-miR-4766-5p,6
NEAT1,hsa-miR-148a-3p,9
NEAT1,hsa-miR-148b-3p,9
NEAT1,hsa-miR-449c-5p,9
NEAT1,hsa-miR-152-3p,9
NEAT1,hsa-miR-2682-5p,9
NEAT1,hsa-miR-449a,9
NEAT1,hsa-miR-449b-5p,9
NEAT1,hsa-miR-34a-5p,9
NEAT1,hsa-miR-34c-5p,9
NEAT1,hsa-miR-34b-5p,9
NEAT1,hsa-miR-944,3
NEAT1,hsa-miR-545-5p,2
NEAT1,hsa-miR-450b-5p,4
NEAT1,hsa-miR-1224-5p,5
NEAT1,hsa-miR-455-5p,2
NEAT1,hsa-miR-3121-3p,1
NEAT1,hsa-miR-224-5p,1
NEAT1,hsa-miR-675-3p,1
NEAT1,hsa-miR-10a-5p,1
NEAT1,hsa-miR-10b-5p,1
NEAT1,hsa-miR-1179,7
NEAT1,hsa-miR-3924,9
NEAT1,hsa-miR-212-3p,4
NEAT1,hsa-miR-132-3p,4
NEAT1,hsa-miR-4703-5p,3
NEAT1,hsa-miR-4766-3p,3
NEAT1,hsa-miR-3942-5p,3
NEAT1,hsa-miR-370-3p,9
NEAT1,hsa-miR-6893-3p,9
NEAT1,hsa-miR-605-3p,8
NEAT1,hsa-miR-671-3p,5
NEAT1,hsa-miR-520a-5p,10
NEAT1,hsa-miR-525-5p,10
NEAT1,hsa-miR-330-3p,9
NEAT1,hsa-miR-624-3p,10
NEAT1,hsa-miR-514a-3p,10
NEAT1,hsa-miR-514b-3p,10
NEAT1,hsa-miR-329-3p,18
NEAT1,hsa-miR-362-3p,18
NEAT1,hsa-miR-485-3p,19
NEAT1,hsa-miR-539-3p,19
NEAT1,hsa-miR-154-3p,18
NEAT1,hsa-miR-487a-3p,18
NEAT1,hsa-miR-3140-3p,4
NEAT1,hsa-miR-135b-5p,4
NEAT1,hsa-miR-135a-5p,4
NEAT1,hsa-miR-410-3p,1
NEAT1,hsa-miR-128-3p,10
NEAT1,hsa-miR-3681-3p,10
NEAT1,hsa-miR-216a-3p,10
NEAT1,hsa-miR-140-3p,10
NEAT1,hsa-miR-381-3p,1
NEAT1,hsa-miR-300,1
NEAT1,hsa-miR-329-3p,11
NEAT1,hsa-miR-362-3p,11
NEAT1,hsa-miR-377-3p,15
NEAT1,hsa-miR-342-3p,15
NEAT1,hsa-miR-29b-3p,12
NEAT1,hsa-miR-29a-3p,11
NEAT1,hsa-miR-29c-3p,11
NEAT1,hsa-miR-4701-5p,4
NEAT1,hsa-miR-588,4
NEAT1,hsa-miR-5000-3p,4
NEAT1,hsa-miR-4436a,2
NEAT1,hsa-miR-513a-5p,1
NEAT1,hsa-miR-494-3p,4
NEAT1,hsa-miR-506-5p,5
NEAT1,hsa-miR-5590-3p,12
NEAT1,hsa-miR-142-5p,12
NEAT1,hsa-miR-3150a-3p,9
NEAT1,hsa-miR-6763-5p,8
NEAT1,hsa-miR-181c-5p,6
NEAT1,hsa-miR-181b-5p,3
NEAT1,hsa-miR-181d-5p,3
NEAT1,hsa-miR-4262,3
NEAT1,hsa-miR-4677-3p,5
NEAT1,hsa-miR-2467-3p,9
NEAT1,hsa-miR-663a,10
NEAT1,hsa-miR-1908-5p,10
NEAT1,hsa-miR-6787-5p,10
NEAT1,hsa-miR-766-5p,10
NEAT1,hsa-miR-665,9
NEAT1,hsa-miR-423-5p,9
NEAT1,hsa-miR-3184-5p,9
NEAT1,hsa-miR-3194-5p,8
NEAT1,hsa-miR-488-3p,5
NEAT1,hsa-miR-433-3p,3
NEAT1,hsa-miR-382-3p,2
NEAT1,hsa-miR-3163,4
NEAT1,hsa-miR-221-3p,15
NEAT1,hsa-miR-222-3p,15
NEAT1,hsa-miR-511-3p,10
NEAT1,hsa-miR-302a-3p,5
NEAT1,hsa-miR-302b-3p,5
NEAT1,hsa-miR-302c-3p,5
NEAT1,hsa-miR-373-3p,5
NEAT1,hsa-miR-302d-3p,5
NEAT1,hsa-miR-372-3p,5
NEAT1,hsa-miR-520a-3p,5
NEAT1,hsa-miR-520c-3p,5
NEAT1,hsa-miR-520d-3p,5
NEAT1,hsa-miR-520e,4
NEAT1,hsa-miR-520b,4
NEAT1,hsa-miR-302e,3
NEAT1,hsa-miR-3611,6
NEAT1,hsa-miR-627-5p,5
NEAT1,hsa-miR-579-3p,4
NEAT1,hsa-miR-664b-3p,4
NEAT1,hsa-miR-516b-5p,4
NEAT1,hsa-miR-144-5p,1
NEAT1,hsa-miR-3163,1
NEAT1,hsa-miR-197-3p,2
NEAT1,hsa-miR-3924,3
NEAT1,hsa-miR-892c-5p,4
NEAT1,hsa-miR-3613-5p,9
NEAT1,hsa-miR-509-3p,7
NEAT1,hsa-miR-1270,6
NEAT1,hsa-miR-620,6
NEAT1,hsa-miR-516b-5p,6
NEAT1,hsa-miR-450b-5p,3
NEAT1,hsa-miR-206,29
NEAT1,hsa-miR-1-3p,29
NEAT1,hsa-miR-613,29
NEAT1,hsa-miR-6884-5p,31
NEAT1,hsa-miR-485-5p,31
NEAT1,hsa-miR-302b-3p,10
NEAT1,hsa-miR-302d-3p,10
NEAT1,hsa-miR-372-3p,10
