lncRNA,mature_mirna_id,target_symbol
MSC-AS1,hsa-miR-302d-3p,NR4A2
NEAT1,hsa-miR-30a-5p,VIM
GAS6-AS1,hsa-miR-30a-5p,VIM
NEAT1,hsa-miR-30b-5p,PDGFRB
NEAT1,hsa-miR-30b-5p,SOCS1
GAS6-AS1,hsa-miR-30b-5p,PDGFRB
GAS6-AS1,hsa-miR-30b-5p,SOCS1
NEAT1,hsa-miR-30c-5p,VIM
NEAT1,hsa-miR-30c-5p,CCN2
GAS6-AS1,hsa-miR-30c-5p,VIM
GAS6-AS1,hsa-miR-30c-5p,CCN2
NEAT1,hsa-miR-30d-5p,SOCS1
GAS6-AS1,hsa-miR-30d-5p,SOCS1
NEAT1,hsa-miR-320a,FAS
NEAT1,hsa-miR-320a,VIM
NEAT1,hsa-miR-320a,AQP1
NR2F2-AS1,hsa-miR-320a,FAS
NR2F2-AS1,hsa-miR-320a,VIM
NR2F2-AS1,hsa-miR-320a,AQP1
NEAT1,hsa-miR-324-5p,GLI1
NEAT1,hsa-miR-324-5p,SMO
NEAT1,hsa-miR-326,GLI1
NEAT1,hsa-miR-326,SMO
GAS6-AS1,hsa-miR-326,GLI1
GAS6-AS1,hsa-miR-326,SMO
NEAT1,hsa-miR-338-3p,SMO
NEAT1,hsa-miR-34a-5p,NR4A2
NEAT1,hsa-miR-34a-5p,CSF1R
NEAT1,hsa-miR-34a-5p,PDGFRB
NEAT1,hsa-miR-34a-5p,CYBB
NEAT1,hsa-miR-34a-5p,TREM2
NEAT1,hsa-miR-34c-5p,PDGFRB
NEAT1,hsa-miR-34c-5p,RARG
NEAT1,hsa-miR-372-3p,NR4A2
MSC-AS1,hsa-miR-372-3p,NR4A2
NEAT1,hsa-miR-423-5p,TFF1
NEAT1,hsa-miR-425-5p,FGFR3
DLGAP1-AS1,hsa-miR-425-5p,FGFR3
NEAT1,hsa-miR-4262,SPP1
NEAT1,hsa-miR-4295,RUNX3
NEAT1,hsa-miR-433-3p,GBP2
NEAT1,hsa-miR-449a,MFAP4
NEAT1,hsa-miR-483-3p,IGF1
NEAT1,hsa-miR-483-3p,CCN2
GAS6-AS1,hsa-miR-483-3p,IGF1
GAS6-AS1,hsa-miR-483-3p,CCN2
NEAT1,hsa-miR-486-5p,CIT
NEAT1,hsa-miR-490-3p,ABCC2
NEAT1,hsa-miR-490-3p,PAPPA
NEAT1,hsa-miR-491-5p,MMP2
NEAT1,hsa-miR-495-3p,RUNX3
NEAT1,hsa-miR-495-3p,PTP4A3
NEAT1,hsa-miR-506-3p,VIM
NEAT1,hsa-miR-519d-3p,MMP2
NEAT1,hsa-miR-519d-3p,MKI67
NEAT1,hsa-miR-520g-3p,MMP2
NEAT1,hsa-miR-524-5p,MMP2
NEAT1,hsa-miR-532-5p,RUNX3
NEAT1,hsa-miR-532-5p,CXCL2
NEAT1,hsa-miR-582-3p,DKK3
NEAT1,hsa-miR-708-5p,MMP2
GAS6-AS1,hsa-miR-708-5p,MMP2
PURPL,hsa-miR-708-5p,MMP2
NEAT1,hsa-miR-758-3p,TLR7
NEAT1,hsa-miR-9-5p,RAB34
NEAT1,hsa-miR-9-5p,PDGFRB
NEAT1,hsa-miR-9-5p,RUNX1
LINC01915,hsa-miR-92a-3p,IKZF1
PURPL,hsa-miR-92a-3p,IKZF1
LINC01915,hsa-miR-92b-3p,DKK3
PURPL,hsa-miR-92b-3p,DKK3
NEAT1,hsa-miR-98-5p,IGF1
NEAT1,hsa-miR-98-5p,CCL5
NEAT1,hsa-miR-98-5p,EDN1
