from,to,type
hsa-miR-29a-3p,RASGRP1,miRNA-mRNA
hsa-let-7a-5p,ARG2,miRNA-mRNA
hsa-miR-29b-3p,MMP2,miRNA-mRNA
hsa-miR-17-5p,MMP2,miRNA-mRNA
hsa-miR-29c-3p,MMP2,miRNA-mRNA
hsa-miR-491-5p,MMP2,miRNA-mRNA
hsa-miR-29a-3p,MMP2,miRNA-mRNA
hsa-miR-708-5p,MMP2,miRNA-mRNA
hsa-miR-106b-5p,MMP2,miRNA-mRNA
hsa-miR-221-3p,MMP2,miRNA-mRNA
hsa-miR-130b-3p,MMP2,miRNA-mRNA
hsa-miR-125b-5p,MMP2,miRNA-mRNA
hsa-miR-520g-3p,MMP2,miRNA-mRNA
hsa-miR-524-5p,MMP2,miRNA-mRNA
hsa-miR-218-5p,MMP2,miRNA-mRNA
hsa-miR-519d-3p,MMP2,miRNA-mRNA
hsa-miR-10a-5p,CHL1,miRNA-mRNA
hsa-miR-182-5p,CHL1,miRNA-mRNA
hsa-miR-183-5p,DKK3,miRNA-mRNA
hsa-miR-92b-3p,DKK3,miRNA-mRNA
hsa-miR-582-3p,DKK3,miRNA-mRNA
hsa-miR-125b-5p,DKK3,miRNA-mRNA
hsa-miR-532-5p,RUNX3,miRNA-mRNA
hsa-miR-130b-3p,RUNX3,miRNA-mRNA
hsa-miR-130a-3p,RUNX3,miRNA-mRNA
hsa-miR-301a-3p,RUNX3,miRNA-mRNA
hsa-miR-148a-3p,RUNX3,miRNA-mRNA
hsa-miR-106a-5p,RUNX3,miRNA-mRNA
hsa-miR-106b-5p,RUNX3,miRNA-mRNA
hsa-miR-20a-5p,RUNX3,miRNA-mRNA
hsa-miR-495-3p,RUNX3,miRNA-mRNA
hsa-miR-4295,RUNX3,miRNA-mRNA
hsa-miR-125b-5p,FES,miRNA-mRNA
hsa-miR-519d-3p,MKI67,miRNA-mRNA
hsa-let-7f-5p,POSTN,miRNA-mRNA
hsa-miR-495-3p,PTP4A3,miRNA-mRNA
hsa-miR-146a-5p,FAS,miRNA-mRNA
hsa-miR-106a-5p,FAS,miRNA-mRNA
hsa-miR-196b-5p,FAS,miRNA-mRNA
hsa-miR-23a-3p,FAS,miRNA-mRNA
hsa-miR-133b,FAS,miRNA-mRNA
hsa-miR-320a,FAS,miRNA-mRNA
hsa-miR-217,NR4A2,miRNA-mRNA
hsa-miR-19a-3p,NR4A2,miRNA-mRNA
hsa-miR-302d-3p,NR4A2,miRNA-mRNA
hsa-miR-372-3p,NR4A2,miRNA-mRNA
hsa-miR-129-5p,NR4A2,miRNA-mRNA
